date,plot_id,crop,env_stability_90,env_stability_category,plot_health_90,plot_health_category,risk_score_90,risk_category,final_score_90,plot_score_category,plot_score_90,treatment,treatment_block,row_orientation,plot_area_m2,plant_density_plants_m2,greenhouse_id,farm_id,structure_type,heating_system,irrigation_system,farm_name,region,climate_zone,production_system
2025-02-21,P0001,Strawberry,62.875581110358034,Good,64.23428918191037,Good,31.6,Moderate,70.28093745895053,Good,70.28093745895053,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-02-22,P0001,Strawberry,62.78666434986368,Good,59.7956871819743,Good,33.2,Moderate,68.04516744713487,Good,68.04516744713487,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-02-23,P0001,Strawberry,62.44216301559431,Good,50.41344459484812,Fair,36.879999999999995,Elevated,63.25976192565698,Good,63.25976192565698,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-02-24,P0001,Strawberry,70.79906217402625,Good,56.32800546356491,Good,31.28,Moderate,69.36869552747297,Good,69.36869552747297,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-02-25,P0001,Strawberry,69.45991162634994,Good,61.611016880303325,Good,30.48,Moderate,71.48086589783378,Good,71.48086589783378,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-02-26,P0001,Strawberry,65.946004962182,Good,35.78095017878948,Poor,44.16,Elevated,51.484948222674575,Fair,51.484948222674575,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-02-27,P0001,Strawberry,60.30225038817933,Good,46.61972517746117,Fair,44.8,Elevated,55.7633880088222,Good,55.7633880088222,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-02-28,P0001,Strawberry,58.4042786413563,Good,25.512044258051233,Poor,55.28,High,44.55036740225303,Fair,44.55036740225303,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-01,P0001,Strawberry,46.011920421865746,Fair,31.969532371556017,Poor,62.96,High,42.339854791084456,Fair,42.339854791084456,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-02,P0001,Strawberry,46.09690403178582,Fair,15.32098115821518,Critical,74.8,Critical,33.26712934565437,Poor,33.26712934565437,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-03,P0001,Strawberry,45.217906718841064,Fair,39.841766195926134,Fair,67.84,High,48.0560705636921,Fair,48.0560705636921,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-04,P0001,Strawberry,38.483799425103,Fair,37.18903534579246,Fair,72.4,Critical,42.593904625629634,Fair,42.593904625629634,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-05,P0001,Strawberry,42.15904174524115,Fair,60.47823161842754,Good,63.2,High,60.547509653488106,Good,60.547509653488106,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-06,P0001,Strawberry,47.621590515511514,Fair,45.02474225163691,Fair,61.2,High,48.065414656496024,Fair,48.065414656496024,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-07,P0001,Strawberry,40.91002625537983,Fair,58.991157865288095,Good,57.44,High,59.33528114137464,Good,59.33528114137464,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-08,P0001,Strawberry,51.189854740691445,Fair,42.014734155620175,Fair,57.68,High,47.91760609815308,Fair,47.91760609815308,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-09,P0001,Strawberry,45.95393275654571,Fair,54.116926079377365,Good,47.2,Elevated,58.83331346092774,Good,58.83331346092774,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
2025-03-10,P0001,Strawberry,48.9701436326567,Fair,59.097563309412415,Good,46.56,Elevated,62.45004277929185,Good,62.45004277929185,Low N,A,East,11.78,12.1,GH003,F08,Polyfilm,Natural Gas,EBB-Flow,BC Harvest 8,Langley,Coastal,Mixed
