plot_id,crop,treatment,treatment_block,plot_area_m2,plant_density_plants_m2,risk_score,risk_category,main_driver,plant_stress_index,disease_risk_index,pest_pressure_index,current_risk,trend_risk_n,anomaly_risk,response_risk,alert_flag,action_taken,action_delay_days,season_yield_kg_m2,marketable_ratio,season_profit_cad,season_roi,precision_benefit_cad
P0070,Tomato,Low N,D,20.21,20.91,55.508779103387695,High,Environment anomaly,0.6271269371761526,0.1515225308439323,0.3891678855382053,0.4368538049488971,0.5020881182216033,0.7833346487318109,0.6,1,0,0,8.28692563643056,0.960327492271936,344.954005723076,0.306255902134962,224.220103719999
P0104,Pepper,Low N,B,19.86,20.28,51.98934375839425,High,Environment anomaly,0.6425781237083427,0.1534428028826651,0.379355026,0.44319290791897087,0.4328628318252353,0.6828010592799694,0.6,1,0,0,5.34497372803098,0.869800356326676,304.401279375314,0.247745566825016,197.860831593954
P0044,Strawberry,Control,A,16.84,17.16,48.4908974653285,Moderate,Environment anomaly,0.5632630758073752,0.1419308651538265,0.3893992313648233,0.40209064372280023,0.5354534219660471,0.6349028026272997,0.41666666666666663,1,1,1,4.90611480510236,0.946841244104887,649.862858784784,0.551477061023092,422.410858210109
P0118,Strawberry,Reduced Pest,C,23.05,14.67,44.453412741962026,Moderate,Response issue,0.5960141793724404,0.1457683764588159,0.3785448085972027,0.4174465643433055,0.3717823979211395,0.4274111520958925,0.6,1,0,0,4.76798693722029,0.977368004868957,-28.7727176631363,-0.0206260388018563,0
P0042,Tomato,Control,A,23.91,15.52,44.3871883738868,Moderate,Response issue,0.5514470790871762,0.1233869102611059,0.3935370760682548,0.39144702783557084,0.4170149090566555,0.4130584836612717,0.6,1,0,0,8.24303980984818,0.946323010791925,696.541569150481,0.505013895069499,452.752019947813
P0093,Cucumber,Reduced Pest,D,20.67,20.63,44.37839411568611,Moderate,Response issue,0.5785146351530818,0.1530412164620631,0.3831427295619785,0.41179822842755553,0.28328121622685837,0.527504619085844,0.6166666666666667,1,1,1,8.01367171640053,0.860302812026779,475.499525826727,0.302988833471903,309.074691787373
P0058,Strawberry,Reduced Pest,D,12.34,23.44,42.56863561213525,Moderate,Environment anomaly,0.5915831026991901,0.1482511186877665,0.3860268161631998,0.41747225018856493,0.3046678264870747,0.6003538930012641,0.41666666666666663,1,1,1,4.25709523204905,0.870661753817941,666.733200254851,0.491550797812275,433.376580165653
P0110,Cucumber,Low N,A,10.66,11.47,42.32584455708681,Moderate,Response issue,0.5935348190246815,0.1240077105768623,0.3591847747282706,0.40580667763105355,0.3969580280938565,0.3099330068826764,0.6,1,0,0,8.1637676632337,0.937544198829632,270.755567445222,0.196969148475787,175.991118839394
P0035,Strawberry,Control,A,10.81,8.29,42.23376755407027,Moderate,Response issue,0.5737804532007625,0.1245229456182351,0.399819604,0.40421103108585177,0.3370562147313048,0.3829988048891418,0.6,1,0,0,4.77791159248861,0.969179994249569,12.8545257174934,0.00858003050088883,8.35544171637071
P0034,Strawberry,High Light,D,16.78,19.07,42.08031068872581,Moderate,Environment anomaly,0.5295127388860785,0.1239213788830963,0.3914103281578664,0.3802148487395415,0.47362731516322776,0.8466054051880584,0,0,0,0,4.19677366798889,0.868995338493175,1003.53960628221,0.609267211237733,652.300744083434
