date,plot_id,crop,risk_score,risk_level
2025-02-21,P0001,Strawberry,27,Medium
2025-02-22,P0001,Strawberry,29,Medium
2025-02-23,P0001,Strawberry,33.6,Medium
2025-02-24,P0001,Strawberry,26.6,Medium
2025-02-25,P0001,Strawberry,25.6,Medium
2025-02-26,P0001,Strawberry,42.7,Medium
2025-02-27,P0001,Strawberry,43.5,Medium
2025-02-28,P0001,Strawberry,56.6,High
2025-03-01,P0001,Strawberry,66.2,High
2025-03-02,P0001,Strawberry,81,Critical
2025-03-03,P0001,Strawberry,72.3,High
2025-03-04,P0001,Strawberry,78,Critical
2025-03-05,P0001,Strawberry,66.5,High
2025-03-06,P0001,Strawberry,64,High
2025-03-07,P0001,Strawberry,59.3,High
2025-03-08,P0001,Strawberry,59.6,High
2025-03-09,P0001,Strawberry,46.5,Medium
2025-03-10,P0001,Strawberry,45.7,Medium
2025-03-11,P0001,Strawberry,58.9,High
2025-03-12,P0001,Strawberry,55.2,High
2025-03-13,P0001,Strawberry,47.1,Medium
2025-03-14,P0001,Strawberry,53.1,High
2025-03-15,P0001,Strawberry,60.9,High
2025-03-16,P0001,Strawberry,59.8,High
2025-03-17,P0001,Strawberry,62.3,High
2025-03-18,P0001,Strawberry,59.7,High
2025-03-19,P0001,Strawberry,55.3,High
2025-03-20,P0001,Strawberry,69.1,High
2025-03-21,P0001,Strawberry,75,Critical
2025-03-22,P0001,Strawberry,74.4,High
2025-03-23,P0001,Strawberry,67.7,High
2025-03-24,P0001,Strawberry,75.5,Critical
2025-03-25,P0001,Strawberry,73.4,High
2025-03-26,P0001,Strawberry,69.7,High
2025-03-27,P0001,Strawberry,61.4,High
2025-03-28,P0001,Strawberry,58.9,High
2025-03-29,P0001,Strawberry,55,High
2025-03-30,P0001,Strawberry,49.1,Medium
2025-03-31,P0001,Strawberry,45,Medium
2025-04-01,P0001,Strawberry,43.8,Medium
2025-04-02,P0001,Strawberry,42.7,Medium
2025-04-03,P0001,Strawberry,39.4,Medium
2025-04-04,P0001,Strawberry,49.9,Medium
2025-04-05,P0001,Strawberry,59.5,High
2025-04-06,P0001,Strawberry,68.5,High
2025-04-07,P0001,Strawberry,70.3,High
2025-04-08,P0001,Strawberry,68,High
2025-04-09,P0001,Strawberry,70.5,High
2025-04-10,P0001,Strawberry,67.7,High
2025-04-11,P0001,Strawberry,62.9,High
2025-04-12,P0001,Strawberry,64.4,High
2025-04-13,P0001,Strawberry,63.5,High
2025-04-14,P0001,Strawberry,66.4,High
2025-04-15,P0001,Strawberry,62.6,High
2025-04-16,P0001,Strawberry,60.2,High
2025-04-17,P0001,Strawberry,67,High
2025-04-18,P0001,Strawberry,66.2,High
2025-04-19,P0001,Strawberry,59.7,High
2025-04-20,P0001,Strawberry,60.7,High
2025-04-21,P0001,Strawberry,66.2,High
2025-04-22,P0001,Strawberry,65.7,High
2025-04-23,P0001,Strawberry,61.7,High
2025-04-24,P0001,Strawberry,58.2,High
2025-04-25,P0001,Strawberry,58.3,High
2025-04-26,P0001,Strawberry,48.1,Medium
2025-04-27,P0001,Strawberry,41.9,Medium
2025-04-28,P0001,Strawberry,44.4,Medium
2025-04-29,P0001,Strawberry,44.5,Medium
2025-04-30,P0001,Strawberry,38.4,Medium
2025-05-01,P0001,Strawberry,43.6,Medium
2025-05-02,P0001,Strawberry,32.9,Medium
2025-05-03,P0001,Strawberry,36.4,Medium
2025-05-04,P0001,Strawberry,38.1,Medium
2025-05-05,P0001,Strawberry,43.4,Medium
2025-05-06,P0001,Strawberry,35.3,Medium
2025-05-07,P0001,Strawberry,46.7,Medium
2025-05-08,P0001,Strawberry,45.6,Medium
2025-05-09,P0001,Strawberry,50.7,High
2025-05-10,P0001,Strawberry,54.9,High
2025-05-11,P0001,Strawberry,57.3,High
2025-05-12,P0001,Strawberry,62.3,High
2025-05-13,P0001,Strawberry,62.2,High
2025-05-14,P0001,Strawberry,63.6,High
2025-05-15,P0001,Strawberry,51.2,High
2025-05-16,P0001,Strawberry,51.1,High
2025-05-17,P0001,Strawberry,49.1,Medium
2025-05-18,P0001,Strawberry,48.1,Medium
2025-05-19,P0001,Strawberry,61.1,High
2025-05-20,P0001,Strawberry,47.6,Medium
2025-05-21,P0001,Strawberry,47.9,Medium
2025-05-22,P0001,Strawberry,41.5,Medium
2025-05-23,P0001,Strawberry,45.5,Medium
2025-05-24,P0001,Strawberry,41.6,Medium
2025-05-25,P0001,Strawberry,50.9,High
2025-05-26,P0001,Strawberry,34.2,Medium
2025-05-27,P0001,Strawberry,32.6,Medium
2025-05-28,P0001,Strawberry,29.5,Medium
2025-05-29,P0001,Strawberry,37.1,Medium
2025-05-30,P0001,Strawberry,36.4,Medium
2025-05-31,P0001,Strawberry,42.7,Medium
2025-06-01,P0001,Strawberry,33.9,Medium
2025-06-02,P0001,Strawberry,41.9,Medium
