date,plot_id,greenhouse_id,farm_id,daily_energy_cost,daily_fertilizer_cost,daily_labor_cost,daily_pesticide_cost,daily_water_cost,daily_total_input_cost,daily_precision_cost,daily_precision_actions_count,daily_total_actions_count,daily_routine_cost
2025-02-15,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-16,P0001,GH003,F08,7.415872672548865,0,30.052106335869418,0,9.348273913948503,46.816252922366786,0,0,1,46.816252922366786
2025-02-17,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-18,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-19,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-20,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-21,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-22,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-23,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-24,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-25,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-02-26,P0001,GH003,F08,4.482897076658898,0,39.79856494610811,0,3.301519138829954,47.58298116159696,0,0,1,47.58298116159696
2025-02-27,P0001,GH003,F08,3.148473629055226,0,32.172000917676115,0,3.7551049467214455,39.075579493452786,0,0,1,39.075579493452786
2025-02-28,P0001,GH003,F08,4.518383765175605,0,28.29118577281605,0,6.4326203460174805,39.242189884009136,0,0,1,39.242189884009136
2025-03-01,P0001,GH003,F08,6.397476265696475,0,32.41519697057303,0,6.177812753696016,44.99048598996552,0,0,1,44.99048598996552
2025-03-02,P0001,GH003,F08,4.851452931042708,0,40.95388176652303,0,6.067491560274534,51.87282625784027,0,0,1,51.87282625784027
2025-03-03,P0001,GH003,F08,6.392580107630259,0,21.40599950843319,0,0,27.79857961606345,0,0,0,27.79857961606345
2025-03-04,P0001,GH003,F08,3.438703085115785,0,30.522628365007577,0,6.7603415624277154,40.72167301255107,0,0,1,40.72167301255107
2025-03-05,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-03-06,P0001,GH003,F08,5.496567080625399,0,43.814983803256546,0,6.768609549872891,56.080160433754834,0,0,1,56.080160433754834
2025-03-07,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-03-08,P0001,GH003,F08,7.18595352,0,39.88243492786012,0,9.093953168118393,56.162341616048934,0,0,1,56.162341616048934
2025-03-09,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-03-10,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-03-11,P0001,GH003,F08,5.1757972,0,26.24882980913417,0,5.421389688750707,36.846016697866375,0,0,1,36.846016697866375
2025-03-12,P0001,GH003,F08,5.820915459704114,0,34.28798710750018,0,5.213686689854904,45.32258925705919,0,0,1,45.32258925705919
2025-03-13,P0001,GH003,F08,0,0,0,0,0,0,0,0,0,0
2025-03-14,P0001,GH003,F08,6.0728414430977615,0,31.217962021455126,0,7.913266675066748,45.20407013961963,0,0,1,45.20407013961963
2025-03-15,P0001,GH003,F08,6.438077388137015,0,40.92033355790035,0,7.539338563620462,54.89774950965783,0,0,1,54.89774950965783
2025-03-16,P0001,GH003,F08,4.101737721499655,37.12,66.19270908100127,0,10.558928888163324,117.97337569066426,0,0,3,117.97337569066426
2025-03-17,P0001,GH003,F08,5.761080248146278,0,32.40047866116913,0,5.164946888613184,43.3265058,0,0,1,43.3265058
