date,plot_id,greenhouse_id,farm_id,input_type,quantity,unit_cost,total_cost,reason,purpose,is_precision_action
2025-03-16,P0001,GH003,F08,Fertilizer,19.036150744968253,1.95,37.12,Shock response,Routine,0
2025-03-16,P0001,GH003,F08,Water,700.3427542293334,0.0025,1.75,Pest response,Routine,0
2025-03-16,P0001,GH003,F08,Labor,1.9870384189463943,28.0,55.64,Growth phase,Routine,0
2025-04-14,P0001,GH003,F08,Water,755.1903080532509,0.0025,1.89,Shock response,Routine,0
2025-04-14,P0001,GH003,F08,Labor,0.7017062456909833,28.0,19.65,Routine,Routine,0
2025-04-14,P0001,GH003,F08,Energy,32.022836057320426,0.19,6.08,Growth phase,Routine,0
2025-04-16,P0001,GH003,F08,Fertilizer,19.92526688270571,1.95,38.85,Routine,Response to alert,1
2025-04-16,P0001,GH003,F08,Water,570.0082509660125,0.0025,1.43,Growth phase,Routine,0
2025-04-16,P0001,GH003,F08,Energy,27.58047218905375,0.19,5.24,Shock response,Routine,0
2025-05-19,P0001,GH003,F08,Fertilizer,10.97651912733684,1.95,21.4,Pest response,Routine,0
2025-05-19,P0001,GH003,F08,Water,487.8045547150531,0.0025,1.22,Routine,Routine,0
2025-05-19,P0001,GH003,F08,Labor,1.2334406408294516,28.0,34.54,Irrigation adjustment,Routine,0
2025-06-05,P0001,GH003,F08,Fertilizer,22.611528784008087,1.95,44.09,Irrigation adjustment,Response to alert,1
2025-06-05,P0001,GH003,F08,Water,693.3859595549743,0.0025,1.73,Growth phase,Routine,0
2025-06-05,P0001,GH003,F08,Labor,1.3362210685652745,28.0,37.41,Routine,Routine,0
2025-06-07,P0001,GH003,F08,Fertilizer,18.61831366796753,1.95,36.31,Irrigation adjustment,Routine,0
2025-06-07,P0001,GH003,F08,Water,593.730585053458,0.0025,1.48,Irrigation adjustment,Routine,0
2025-06-07,P0001,GH003,F08,Labor,1.6506693914175308,28.0,46.22,Pest response,Routine,0
2025-06-07,P0001,GH003,F08,Energy,48.458985911994745,0.19,9.21,Routine,Routine,0
2025-06-12,P0001,GH003,F08,Fertilizer,15.881387792757147,1.95,30.97,Routine,Routine,0
2025-06-12,P0001,GH003,F08,Pesticide,3.0426186738239163,14.0,42.6,Growth phase,Routine,0
2025-06-12,P0001,GH003,F08,Water,786.940086134722,0.0025,1.97,Pest response,Routine,0
2025-06-12,P0001,GH003,F08,Labor,2.2324318228704403,28.0,62.51,Growth phase,Routine,0
2025-06-12,P0001,GH003,F08,Energy,21.804582456463063,0.19,4.14,Shock response,Routine,0
