date,item,price,unit
2026-02-15,Fertilizer,2.46,CAD/kg
2026-02-15,Pesticide,14.17,CAD/L
2026-02-15,Energy,0.15,CAD/kWh
2026-02-15,Water,0.0025,CAD/L
2026-02-22,Fertilizer,1.79,CAD/kg
2026-02-22,Pesticide,12.6,CAD/L
2026-02-22,Energy,0.24,CAD/kWh
2026-02-22,Water,0.0034,CAD/L
2026-03-01,Fertilizer,1.87,CAD/kg
2026-03-01,Pesticide,13.94,CAD/L
2026-03-01,Energy,0.21,CAD/kWh
2026-03-01,Water,0.0038,CAD/L
2026-03-08,Fertilizer,2.05,CAD/kg
2026-03-08,Pesticide,14.5,CAD/L
2026-03-08,Energy,0.25,CAD/kWh
2026-03-08,Water,0.0028,CAD/L
2026-03-15,Fertilizer,2.2,CAD/kg
2026-03-15,Pesticide,12.34,CAD/L
2026-03-15,Energy,0.14,CAD/kWh
2026-03-15,Water,0.0034,CAD/L
2026-03-22,Fertilizer,2.21,CAD/kg
2026-03-22,Pesticide,14.58,CAD/L
2026-03-22,Energy,0.13,CAD/kWh
2026-03-22,Water,0.0031,CAD/L
2026-03-29,Fertilizer,2.19,CAD/kg
2026-03-29,Pesticide,13.79,CAD/L
2026-03-29,Energy,0.17,CAD/kWh
2026-03-29,Water,0.0021,CAD/L
2026-04-05,Fertilizer,1.92,CAD/kg
2026-04-05,Pesticide,13.02,CAD/L
2026-04-05,Energy,0.13,CAD/kWh
2026-04-05,Water,0.0033,CAD/L
2026-04-12,Fertilizer,1.6,CAD/kg
2026-04-12,Pesticide,14.26,CAD/L
2026-04-12,Energy,0.21,CAD/kWh
2026-04-12,Water,0.0027,CAD/L
2026-04-19,Fertilizer,2.15,CAD/kg
2026-04-19,Pesticide,18.0,CAD/L
2026-04-19,Energy,0.18,CAD/kWh
2026-04-19,Water,0.0023,CAD/L
2026-04-26,Fertilizer,2.08,CAD/kg
2026-04-26,Pesticide,12.76,CAD/L
2026-04-26,Energy,0.16,CAD/kWh
2026-04-26,Water,0.0031,CAD/L
2026-05-03,Fertilizer,1.78,CAD/kg
2026-05-03,Pesticide,14.98,CAD/L
2026-05-03,Energy,0.22,CAD/kWh
2026-05-03,Water,0.003,CAD/L
2026-05-10,Fertilizer,2.08,CAD/kg
2026-05-10,Pesticide,16.91,CAD/L
2026-05-10,Energy,0.2,CAD/kWh
2026-05-10,Water,0.0032,CAD/L
2026-05-17,Fertilizer,1.98,CAD/kg
2026-05-17,Pesticide,12.22,CAD/L
2026-05-17,Energy,0.14,CAD/kWh
2026-05-17,Water,0.004,CAD/L
2026-05-24,Fertilizer,2.51,CAD/kg
2026-05-24,Pesticide,16.7,CAD/L
2026-05-24,Energy,0.13,CAD/kWh
2026-05-24,Water,0.0024,CAD/L
2026-05-31,Fertilizer,1.66,CAD/kg
2026-05-31,Pesticide,14.68,CAD/L
2026-05-31,Energy,0.13,CAD/kWh
2026-05-31,Water,0.0027,CAD/L
2026-06-07,Fertilizer,2.2,CAD/kg
2026-06-07,Pesticide,15.17,CAD/L
2026-06-07,Energy,0.16,CAD/kWh
2026-06-07,Water,0.0026,CAD/L
2026-06-14,Fertilizer,1.91,CAD/kg
