plot_id,greenhouse_id,farm_id,crop,treatment_block,treatment,plot_area_m2,plant_density_plants_m2,row_orientation
P0001,GH003,F08,Strawberry,A,Low N,11.78,12.1,East
P0002,GH013,F08,Strawberry,A,Shade,14.84,8.41,North
P0003,GH003,F08,Strawberry,C,Shade,22.33,15.61,North
P0004,GH002,F01,Tomato,D,Integrated Pest,22.52,11.99,North
P0005,GH004,F01,Tomato,C,High N,11.25,23.09,East
P0006,GH008,F05,Strawberry,C,High N,10.58,22.88,North
P0007,GH008,F05,Strawberry,B,Control,9.69,15.3,West
P0008,GH009,F06,Strawberry,D,Integrated Pest,22.28,16.63,South
P0009,GH018,F06,Strawberry,C,Integrated Pest,13.7,22.51,North
P0010,GH013,F08,Strawberry,A,High N,14.83,21.09,North
P0011,GH009,F06,Strawberry,C,Shade,10.63,16.55,South
P0012,GH017,F08,Strawberry,A,Control,9.92,13.4,East
P0013,GH008,F05,Strawberry,C,High Light,11.5,16.93,West
P0014,GH019,F08,Strawberry,A,High Light,23.55,23.4,South
P0015,GH001,F02,Pepper,C,Low N,19.4,10.37,West
P0016,GH019,F08,Strawberry,A,High N,17.75,16.04,South
P0017,GH004,F01,Tomato,C,Reduced Pest,13.52,18.15,South
P0018,GH013,F08,Strawberry,B,Reduced Pest,15.83,23.77,West
P0019,GH002,F01,Tomato,C,Integrated Pest,9.29,13.91,North
P0020,GH015,F02,Pepper,C,High Light,13.88,18.12,South
P0021,GH004,F01,Tomato,B,High N,21.06,20.77,North
P0022,GH017,F08,Strawberry,D,High N,10.98,8.65,West
P0023,GH016,F05,Strawberry,D,High N,11.52,19.38,East
P0024,GH017,F08,Strawberry,C,Integrated Pest,18.32,10.79,North
P0025,GH001,F02,Pepper,D,Shade,22.99,10.2,West
P0026,GH007,F04,Cucumber,A,Control,11.35,16.66,South
P0027,GH003,F08,Strawberry,C,Shade,18.56,21.08,North
P0028,GH017,F08,Strawberry,D,Integrated Pest,12.17,23.94,South
P0029,GH014,F02,Pepper,D,Reduced Pest,22.41,18.13,North
P0030,GH012,F04,Cucumber,A,High N,19.21,21.55,West
P0031,GH019,F08,Strawberry,D,High Light,20.48,18.27,East
P0032,GH020,F01,Tomato,A,Integrated Pest,22.38,17.7,East
P0033,GH008,F05,Strawberry,D,High Light,23.04,23.58,South
P0034,GH016,F05,Strawberry,D,High Light,16.78,19.07,West
P0035,GH016,F05,Strawberry,A,Control,10.81,8.29,South
P0036,GH007,F04,Cucumber,A,Integrated Pest,13.86,19.91,East
P0037,GH020,F01,Tomato,A,Control,16.68,16.14,South
