date,plot_id,greenhouse_id,farm_id,blossom_count,pest_severity,disease_severity,leaf_color,notes_flag
2026-02-15,P0001,GH003,F08,37.6339496,0.148770002,0.429695891,Good,Minor
2026-03-01,P0001,GH003,F08,28.54586284,0.688223423,0.327178448,Good,None
2026-03-15,P0001,GH003,F08,32.55941033,0.451005787,0.345002452,Good,None
2026-03-29,P0001,GH003,F08,44.69859722,0.346397238,0.172817211,Fair,None
2026-04-12,P0001,GH003,F08,31.18713856,0.234205596,0.106117361,Good,Minor
2026-04-26,P0001,GH003,F08,31.78024644,0.713236513,0.137537387,Poor,Minor
2026-05-10,P0001,GH003,F08,38.21196754,0.385214473,0.264684747,Fair,None
2026-05-24,P0001,GH003,F08,32.76035549,0.21243251,0.162179057,Poor,None
2026-06-07,P0001,GH003,F08,45.22812652,0.046891418,0.21010402,Excellent,Moderate
2026-06-21,P0001,GH003,F08,32.48840681,0.395722615,0.174912089,Good,Minor
2026-07-05,P0001,GH003,F08,43.05224817,0.434534668,0.435930765,Fair,Minor
2026-07-19,P0001,GH003,F08,41.32947299,0.369326389,0.265030388,Fair,Moderate
2026-08-02,P0001,GH003,F08,39.12134963,0.16367815,0.320924485,Poor,None
2026-08-16,P0001,GH003,F08,25.38677798,0.166730037,0.111976026,Good,Minor
2026-08-30,P0001,GH003,F08,52.15100521,0.513410014,0.310184961,Fair,Minor
2026-02-15,P0002,GH013,F08,29.5043192,0.489285985,0.087146632,Excellent,Minor
2026-03-01,P0002,GH013,F08,36.26601943,0.268171093,0.095671326,Good,None
2026-03-15,P0002,GH013,F08,36.39704991,0.2265334,0.299237668,Good,None
2026-03-29,P0002,GH013,F08,17.88086476,0.16717456,0.077607777,Fair,None
2026-04-12,P0002,GH013,F08,29.72855022,0.499988512,0.076097179,Fair,Minor
2026-04-26,P0002,GH013,F08,31.16238918,0.187007703,0.230989034,Excellent,Minor
2026-05-10,P0002,GH013,F08,32.07915276,0.223567709,0.071669477,Poor,Severe
2026-05-24,P0002,GH013,F08,31.65026464,0.282286828,0.359177228,Fair,None
2026-06-07,P0002,GH013,F08,50.5573996,0.342993591,0.184837174,Fair,Moderate
2026-06-21,P0002,GH013,F08,21.85490761,0.014087557,0.156938286,Poor,Moderate
2026-07-05,P0002,GH013,F08,48.04381236,0.134725698,0.177038073,Fair,Minor
2026-07-19,P0002,GH013,F08,44.80537089,0.197255144,0.433227888,Good,Minor
2026-08-02,P0002,GH013,F08,32.14377939,0.458757522,0.099032203,Fair,None
2026-08-16,P0002,GH013,F08,29.51094571,0.015996989,0.182175031,Excellent,Moderate
2026-08-30,P0002,GH013,F08,41.65361223,0.10503981,0.179167411,Excellent,None
2026-02-15,P0003,GH003,F08,37.25960091,0.022996632,0.010660184,Good,Severe
2026-03-01,P0003,GH003,F08,39.75008202,0.168765671,0.134077775,Good,None
2026-03-15,P0003,GH003,F08,36.92054736,0.229676049,0.206163895,Good,Severe
2026-03-29,P0003,GH003,F08,35.27877083,0.075111025,0.216108912,Fair,Minor
2026-04-12,P0003,GH003,F08,29.83824841,0.227498104,0.315156514,Good,Minor
2026-04-26,P0003,GH003,F08,41.81001343,0.140608411,0.248060238,Excellent,Moderate
2026-05-10,P0003,GH003,F08,28.19183565,0.214800446,0.370425321,Good,Minor
2026-05-24,P0003,GH003,F08,36.98935759,0.142379102,0.374073508,Fair,Moderate
2026-06-07,P0003,GH003,F08,21.84749751,0.242076975,0.075955946,Poor,None
2026-06-21,P0003,GH003,F08,31.82717757,0.762037683,0.115603057,Excellent,None
2026-07-05,P0003,GH003,F08,24.64077559,0.097388306,0.533368136,Good,Minor
2026-07-19,P0003,GH003,F08,39.78894972,0.378909096,0.211860756,Good,Minor
2026-08-02,P0003,GH003,F08,36.77530355,0.06707589,0.236861119,Fair,Minor
2026-08-16,P0003,GH003,F08,23.65831254,0.139609482,0.388745518,Good,Moderate
2026-08-30,P0003,GH003,F08,28.48012066,0.203756151,0.044750462,Poor,Minor
2026-02-15,P0004,GH002,F01,25.91192185,0.092946095,0.104534861,Fair,None
2026-03-01,P0004,GH002,F01,38.83809254,0.404819278,0.004516555,Good,None
2026-03-15,P0004,GH002,F01,20.8853379,0.203439342,0.196218533,Fair,Severe
2026-03-29,P0004,GH002,F01,38.76654476,0.059959284,0.245028165,Good,None
2026-04-12,P0004,GH002,F01,17.32372256,0.314188147,0.047492991,Poor,Moderate
2026-04-26,P0004,GH002,F01,22.00947733,0.338727858,0.24172371,Fair,None
2026-05-10,P0004,GH002,F01,36.16522053,0.295428545,0.267687024,Fair,Minor
2026-05-24,P0004,GH002,F01,32.43004482,0.235548073,0.151132002,Fair,None
2026-06-07,P0004,GH002,F01,34.86192824,0.294004795,0.393508665,Good,Moderate
2026-06-21,P0004,GH002,F01,20.65445006,0.44856825,0.137420038,Excellent,None
2026-07-05,P0004,GH002,F01,33.52678427,0.225877455,0.140735209,Excellent,Minor
2026-07-19,P0004,GH002,F01,43.002623,0.451999125,0.063355821,Good,None
2026-08-02,P0004,GH002,F01,37.94137683,0.143255228,0.091858364,Good,None
2026-08-16,P0004,GH002,F01,34.39994904,0.319945768,0.238054766,Good,Severe
2026-08-30,P0004,GH002,F01,31.83217468,0.274596606,0.132986377,Good,Minor
2026-02-15,P0005,GH004,F01,60,0.352715672,0.293576103,Excellent,Moderate
2026-03-01,P0005,GH004,F01,40.55286986,0.27123945,0.081630225,Good,None
2026-03-15,P0005,GH004,F01,32.04016266,0.258405589,0.115982287,Good,None
2026-03-29,P0005,GH004,F01,52.7557779,0.355035615,0.049848494,Poor,Moderate
