plot_id,crop
P0001,Strawberry
P0002,Strawberry
P0003,Strawberry
P0004,Tomato
P0005,Tomato
P0006,Strawberry
P0007,Strawberry
P0008,Strawberry
P0009,Strawberry
P0010,Strawberry
P0011,Strawberry
P0012,Strawberry
P0013,Strawberry
P0014,Strawberry
P0015,Pepper
P0016,Strawberry
P0017,Tomato
P0018,Strawberry
P0019,Tomato
P0020,Pepper
P0021,Tomato
P0022,Strawberry
P0023,Strawberry
P0024,Strawberry
P0025,Pepper
P0026,Cucumber
P0027,Strawberry
P0028,Strawberry
P0029,Pepper
P0030,Cucumber
P0031,Strawberry
P0032,Tomato
P0033,Strawberry
P0034,Strawberry
P0035,Strawberry
P0036,Cucumber
P0037,Tomato
P0038,Strawberry
P0039,Tomato
P0040,Tomato
P0041,Tomato
P0042,Tomato
P0043,Strawberry
P0044,Strawberry
P0045,Tomato
P0046,Tomato
P0047,Pepper
P0048,Cucumber
P0049,Pepper
P0050,Strawberry
P0051,Tomato
P0052,Strawberry
P0053,Strawberry
P0054,Tomato
P0055,Cucumber
P0056,Tomato
P0057,Strawberry
P0058,Strawberry
P0059,Strawberry
P0060,Tomato
P0061,Strawberry
P0062,Strawberry
P0063,Strawberry
P0064,Strawberry
P0065,Tomato
P0066,Strawberry
P0067,Strawberry
P0068,Strawberry
P0069,Tomato
P0070,Tomato
P0071,Strawberry
P0072,Strawberry
P0073,Pepper
P0074,Tomato
P0075,Tomato
P0076,Strawberry
P0077,Strawberry
P0078,Strawberry
P0079,Strawberry
P0080,Strawberry
P0081,Strawberry
P0082,Strawberry
P0083,Tomato
P0084,Strawberry
P0085,Cucumber
P0086,Strawberry
P0087,Strawberry
P0088,Strawberry
P0089,Cucumber
P0090,Strawberry
P0091,Strawberry
P0092,Tomato
P0093,Cucumber
P0094,Strawberry
P0095,Strawberry
P0096,Tomato
P0097,Strawberry
P0098,Strawberry
P0099,Strawberry
P0100,Pepper
P0101,Strawberry
P0102,Tomato
P0103,Cucumber
P0104,Pepper
P0105,Strawberry
P0106,Strawberry
P0107,Cucumber
P0108,Tomato
P0109,Cucumber
P0110,Cucumber
P0111,Strawberry
P0112,Strawberry
P0113,Strawberry
P0114,Tomato
P0115,Strawberry
P0116,Cucumber
P0117,Tomato
P0118,Strawberry
P0119,Strawberry
P0120,Strawberry
