date,plot_id,greenhouse_id,farm_id,crop,air_temp_c,relative_humidity_pct,vpd_kpa,co2_ppm,light_ppfd,substrate_moisture,substrate_ec,substrate_ph,canopy_temp_c,pest_pressure_index,disease_risk_index,plant_stress_index,alert_type,alert_flag,recommended_action,action_taken,action_delay_days,post_action_stress_delta_3d,daily_energy_cost,daily_fertilizer_cost,daily_labor_cost,daily_pesticide_cost,daily_water_cost,daily_total_input_cost,daily_precision_cost,daily_precision_actions_count,daily_total_actions_count,daily_routine_cost,treatment_block,treatment,plot_area_m2,plant_density_plants_m2,row_orientation,structure_type,heating_system,irrigation_system,capacity_plants,sensor_density_per_100m2,farm_name,region,primary_crop,greenhouse_acres,production_system,climate_zone,stress_lag_1,stress_lag_3,stress_lag_7,stress_lead_3,stress_delta_3d_forward,spike_3d,canopy_air_diff,vpd_kpa_7d_mean,substrate_moisture_7d_mean,pest_pressure_7d_mean,canopy_air_diff_7d_mean
2025-02-15,P0001,GH003,F08,Strawberry,22.384120781750138,67.61061652573336,1.4613659957406115,966.9755272608936,401.32114578674725,0.4611489213988264,1.755728247842112,6.077896494506827,24.51309706872892,0.3932361188127526,0.1525160403652031,0.4578878036048717,,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,,,,0.4000425298542412,-0.05784527375063048,0.0,2.1289762869787836,1.4613659957406115,0.4611489213988264,0.3932361188127526,2.1289762869787836
2025-02-16,P0001,GH003,F08,Strawberry,23.271205943559828,72.68071436569615,1.7864152987597914,928.0344445145888,480.43472126629706,0.5370842593771834,1.928269735,6.212629619486508,23.93230574292965,0.3728154223225683,0.1395066827448505,0.5623945897406732,High Pest Pressure,1,Increase Venting,1,1,-0.009684196,7.415872672548865,0.0,30.052106335869414,0.0,9.348273913948503,46.816252922366786,0.0,0,1,46.816252922366786,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.4578878036048717,,,0.412053284,-0.15034130574067323,0.0,0.661099799369822,1.6238906472502015,0.49911659038800493,0.38302577056766046,1.3950380431743028
2025-02-17,P0001,GH003,F08,Strawberry,22.91963013775276,70.21921733982724,1.358698129564638,979.4670751,348.70262220774123,0.425013441,2.1413566676091342,6.058327952801414,25.222528366325943,0.3983940208358715,0.1358796864882989,0.4680859720304332,,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.5623945897406732,,,0.4171269750337947,-0.05095899699663847,0.0,2.3028982285731843,1.5354931413550137,0.47441554059200325,0.3881485206570641,1.6976581049739299
2025-02-18,P0001,GH003,F08,Strawberry,21.699973584855176,67.88556758545491,1.3711532740976549,926.3629963443864,353.9926204,0.5399143669013083,2.019507585515733,6.096967466217611,24.93620060040041,0.3815647643887199,0.1266615405398908,0.4000425298542412,,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.4680859720304332,0.4578878036048717,,0.4074248235748046,0.007382293720563371,0.0,3.2362270155452357,1.4944081745406739,0.49079024716932956,0.3865025815899781,2.0823003326167564
2025-02-19,P0001,GH003,F08,Strawberry,21.049325446102262,64.17613952422892,1.2072492221317492,909.8840533524703,404.4226255023116,0.4733083745568349,2.134367817608932,6.107785184446644,25.22344573643801,0.3847736687326629,0.1464787935780253,0.412053284,,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.4000425298542412,0.5623945897406732,,0.4448426492933064,0.032789365293306394,0.0,4.174120290335747,1.436976384058889,0.48729387264683066,0.386156799018515,2.5006643241605544
2025-02-20,P0001,GH003,F08,Strawberry,23.40099448617171,71.16680172826713,1.388407655714434,885.8278697621527,494.4250074530358,0.4985494581286834,2.250872775669372,6.152788993226333,24.791770576877884,0.4044738766930245,0.1265893603555089,0.4171269750337947,,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.412053284,0.4680859720304332,,0.5437904110255335,0.1266634359917388,1.0,1.3907760907061721,1.4288815960014798,0.4891698035604728,0.38920964529759994,2.3156829519181574
2025-02-21,P0001,GH003,F08,Strawberry,22.928080946251104,69.67112322289155,1.1135175150916805,886.7241786,501.6710770528266,0.5483546365363097,2.272897265115488,6.008102470032861,26.527851290100223,0.3933919909922362,0.1498432862629157,0.4074248235748046,,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.4171269750337947,0.4000425298542412,,0.4734554586460244,0.06603063507121981,0.0,3.5997703438491193,1.3838295844429371,0.49762477969987806,0.38980712325397654,2.499124007908295
2025-02-22,P0001,GH003,F08,Strawberry,21.511150356269628,70.21631964,1.408151014783728,827.9005927136054,425.0035509065195,0.4781106903220878,2.127202022,6.2412775595405146,24.309426581499004,0.4238722365073453,0.1350016279296084,0.4448426492933064,,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.4074248235748046,0.412053284,0.4578878036048717,0.4457238738483924,0.000881224555085991,0.0,2.798276225229376,1.3762274443062394,0.5000478895460583,0.39418371149606124,2.594738284801237
2025-02-23,P0001,GH003,F08,Strawberry,22.979660829636256,68.95339306,1.606550885391605,828.3907139325353,656.8747310482863,0.4840710306730375,1.8417414957798823,6.132969406727149,25.32878280380457,0.3810792188878936,0.1420196987786367,0.5437904110255335,High VPD,0,Increase Venting,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.4448426492933064,0.4171269750337947,0.5623945897406732,0.6453137780297983,0.10152336700426479,1.0,2.349121974168316,1.3505325281107843,0.49247457115975163,0.39536425386253626,2.83588430977245
2025-02-24,P0001,GH003,F08,Strawberry,22.600142472333392,65.32024253685145,1.3523633912426514,787.8172756437527,262.9713104059905,0.4185465558449087,2.0053337788423846,6.094882819531721,25.25708534448387,0.4176221926301036,0.1444818831863102,0.4734554586460244,,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal,0.5437904110255335,0.4074248235748046,0.4680859720304332,0.578982229,0.10552677035397556,1.0,2.656942872150477,1.3496275654933574,0.49155073042331004,0.3981111355474266,2.8864621159977775
