plot_id,greenhouse_id,farm_id,crop,treatment_block,treatment,plot_area_m2,plant_density_plants_m2,row_orientation,structure_type,heating_system,irrigation_system,capacity_plants,sensor_density_per_100m2,farm_name,region,primary_crop,greenhouse_acres,production_system,climate_zone
P0001,GH003,F08,Strawberry,A,Low N,11.78,12.1,East,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0002,GH013,F08,Strawberry,A,Shade,14.84,8.41,North,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0003,GH003,F08,Strawberry,C,Shade,22.33,15.61,North,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0004,GH002,F01,Tomato,D,Integrated Pest,22.52,11.99,North,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0005,GH004,F01,Tomato,C,High N,11.25,23.09,East,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0006,GH008,F05,Strawberry,C,High N,10.58,22.88,North,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0007,GH008,F05,Strawberry,B,Control,9.69,15.3,West,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0008,GH009,F06,Strawberry,D,Integrated Pest,22.28,16.63,South,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0009,GH018,F06,Strawberry,C,Integrated Pest,13.7,22.51,North,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0010,GH013,F08,Strawberry,A,High N,14.83,21.09,North,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0011,GH009,F06,Strawberry,C,Shade,10.63,16.55,South,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0012,GH017,F08,Strawberry,A,Control,9.92,13.4,East,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0013,GH008,F05,Strawberry,C,High Light,11.5,16.93,West,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0014,GH019,F08,Strawberry,A,High Light,23.55,23.4,South,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0015,GH001,F02,Pepper,C,Low N,19.4,10.37,West,Glass,Hydronic,Fertigation,174,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0016,GH019,F08,Strawberry,A,High N,17.75,16.04,South,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0017,GH004,F01,Tomato,C,Reduced Pest,13.52,18.15,South,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0018,GH013,F08,Strawberry,B,Reduced Pest,15.83,23.77,West,Glass,Heat Pump,Drip,127,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0019,GH002,F01,Tomato,C,Integrated Pest,9.29,13.91,North,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0020,GH015,F02,Pepper,C,High Light,13.88,18.12,South,Glass,Heat Pump,Drip,162,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0021,GH004,F01,Tomato,B,High N,21.06,20.77,North,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0022,GH017,F08,Strawberry,D,High N,10.98,8.65,West,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0023,GH016,F05,Strawberry,D,High N,11.52,19.38,East,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0024,GH017,F08,Strawberry,C,Integrated Pest,18.32,10.79,North,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0025,GH001,F02,Pepper,D,Shade,22.99,10.2,West,Glass,Hydronic,Fertigation,174,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0026,GH007,F04,Cucumber,A,Control,11.35,16.66,South,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0027,GH003,F08,Strawberry,C,Shade,18.56,21.08,North,Polyfilm,Natural Gas,EBB-Flow,48,2,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0028,GH017,F08,Strawberry,D,Integrated Pest,12.17,23.94,South,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0029,GH014,F02,Pepper,D,Reduced Pest,22.41,18.13,North,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0030,GH012,F04,Cucumber,A,High N,19.21,21.55,West,Glass,Hydronic,Fertigation,84,1,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0031,GH019,F08,Strawberry,D,High Light,20.48,18.27,East,Polyfilm,Natural Gas,Fertigation,74,1,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0032,GH020,F01,Tomato,A,Integrated Pest,22.38,17.7,East,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0033,GH008,F05,Strawberry,D,High Light,23.04,23.58,South,Polyfilm,Natural Gas,EBB-Flow,53,3,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0034,GH016,F05,Strawberry,D,High Light,16.78,19.07,West,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0035,GH016,F05,Strawberry,A,Control,10.81,8.29,South,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0036,GH007,F04,Cucumber,A,Integrated Pest,13.86,19.91,East,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0037,GH020,F01,Tomato,A,Control,16.68,16.14,South,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0038,GH018,F06,Strawberry,C,High Light,11.9,23.57,North,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0039,GH020,F01,Tomato,C,High Light,22.5,14.95,North,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0040,GH005,F01,Tomato,B,Control,17.23,15.88,North,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0041,GH004,F01,Tomato,D,Reduced Pest,15.99,17.15,West,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0042,GH002,F01,Tomato,A,Control,23.91,15.52,South,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0043,GH009,F06,Strawberry,A,High Light,13.92,8.25,West,Polyfilm,Heat Pump,EBB-Flow,79,1,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0044,GH017,F08,Strawberry,A,Control,16.84,17.16,West,Glass,Hydronic,EBB-Flow,72,4,BC Harvest 8,Langley,Strawberry,8.4,Mixed,Coastal
P0045,GH005,F01,Tomato,A,Integrated Pest,12.71,14.16,East,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0046,GH020,F01,Tomato,A,High N,10.71,16.91,East,Glass,Hydronic,Fertigation,170,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0047,GH014,F02,Pepper,B,Low N,22.88,9.13,South,Polyfilm,Heat Pump,Fertigation,120,4,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0048,GH007,F04,Cucumber,D,Shade,23.84,10.24,East,Polyfilm,Natural Gas,Drip,185,2,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0049,GH001,F02,Pepper,B,Low N,13.16,21.58,North,Glass,Hydronic,Fertigation,174,1,BC Harvest 2,Maple Ridge,Pepper,7.6,Greenhouse,Interior
P0050,GH018,F06,Strawberry,C,High Light,13.75,12.7,East,Glass,Heat Pump,EBB-Flow,76,3,BC Harvest 6,Maple Ridge,Strawberry,2.8,Greenhouse,Interior
P0051,GH002,F01,Tomato,B,High N,12.1,17.78,West,Glass,Heat Pump,EBB-Flow,171,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0052,GH016,F05,Strawberry,B,Shade,16.02,20.77,North,Polyfilm,Heat Pump,EBB-Flow,80,4,BC Harvest 5,Abbotsford,Strawberry,13.9,Greenhouse,Fraser Valley
P0053,GH010,F03,Strawberry,D,High Light,20.73,22.24,East,Polyfilm,Hydronic,EBB-Flow,150,1,BC Harvest 3,Langley,Strawberry,6.3,Mixed,Interior
P0054,GH004,F01,Tomato,C,Integrated Pest,17.26,15.02,East,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
P0055,GH012,F04,Cucumber,B,High N,15.45,16.68,North,Glass,Hydronic,Fertigation,84,1,BC Harvest 4,Maple Ridge,Cucumber,10.8,Mixed,Fraser Valley
P0056,GH004,F01,Tomato,B,Low N,21.77,12.0,South,Glass,Natural Gas,Fertigation,211,1,BC Harvest 1,Chilliwack,Tomato,4.6,Mixed,Coastal
