plot_id,same_day_responses.x,avg_health_change_pct_3d,median_health_change_pct_3d,response_result,total_alerts,same_day_responses.y,same_day_response_rate,avg_health_score,greenhouse_id,farm_id,crop,treatment_block,treatment,plot_area_m2,plant_density_plants_m2,row_orientation
P0102,6,23.186788574542,22.5418419191087,Strong improvement,19,6,0.3157894736842105,0.6773269669838019,GH002,F01,Tomato,D,High Light,19.28,11.98,East
P0014,8,19.9412477612472,21.4852713949155,Strong improvement,24,8,0.3333333333333333,0.674634501365378,GH019,F08,Strawberry,A,High Light,23.55,23.4,South
P0024,6,19.7209233074573,17.7462687267904,Strong improvement,26,6,0.23076923076923078,0.67243277158191,GH017,F08,Strawberry,C,Integrated Pest,18.32,10.79,North
P0033,8,19.6782312040417,20.0104211234124,Strong improvement,20,8,0.4,0.6784763029819091,GH008,F05,Strawberry,D,High Light,23.04,23.58,South
P0109,10,19.088790841309,19.7644164629784,Strong improvement,29,10,0.3448275862068966,0.6718401217655563,GH012,F04,Cucumber,C,Integrated Pest,9.18,16.86,West
P0079,2,18.9206520620262,18.9206520620262,Strong improvement,21,2,0.09523809523809523,0.6790371907488505,GH017,F08,Strawberry,C,High Light,8.29,9.51,East
P0059,3,18.7601702888944,17.2725990431474,Strong improvement,19,3,0.15789473684210525,0.6743696300998806,GH013,F08,Strawberry,D,High Light,8.83,16.5,East
P0096,5,18.7117872004055,21.4091257154653,Strong improvement,25,5,0.2,0.6713436439950062,GH004,F01,Tomato,C,Integrated Pest,19.01,21.39,North
P0004,9,18.0942625016256,15.802109444045,Strong improvement,29,9,0.3103448275862069,0.6707057234057815,GH002,F01,Tomato,D,Integrated Pest,22.52,11.99,North
P0097,7,17.9235348989747,8.06313356332237,Strong improvement,23,7,0.30434782608695654,0.6765322311274194,GH018,F06,Strawberry,A,High Light,9.35,19.22,South
P0100,10,17.7732876152733,16.9539729495438,Strong improvement,25,10,0.4,0.670047165322609,GH001,F02,Pepper,B,Integrated Pest,11.79,22.52,North
