plot_id,total_alerts,same_day_responses,same_day_response_rate,response_effectiveness
P0001,86,26,0.3023255813953488,-0.0228439722101216
P0002,96,31,0.3229166666666667,-0.02203955290415298
P0003,102,34,0.3333333333333333,-0.015311934235481944
P0004,29,9,0.3103448275862069,-0.015803597729324385
P0005,33,12,0.36363636363636365,-0.024060958193731413
P0006,36,12,0.3333333333333333,-0.022191602277777778
P0007,62,15,0.24193548387096775,-0.026455607690706772
P0008,25,7,0.28,-0.01845096740418493
P0009,33,11,0.3333333333333333,-0.030364861069819338
P0010,34,11,0.3235294117647059,-0.020371219380235197
P0011,97,37,0.38144329896907214,-0.027897857276394742
P0012,65,13,0.2,-0.01850257576766826
P0013,22,3,0.13636363636363635,-0.022791528865437675
P0014,24,8,0.3333333333333333,-0.01882498409023251
P0015,90,29,0.32222222222222224,-0.022857461939987906
P0016,32,20,0.625,-0.0343608161886235
P0017,94,23,0.24468085106382978,-0.014624328129230693
P0018,103,35,0.33980582524271846,-0.02118632774349771
P0019,27,10,0.37037037037037035,-0.027210072075334407
P0020,18,7,0.3888888888888889,-0.02804539546008605
P0021,30,7,0.23333333333333334,-0.017308292122693365
P0022,38,8,0.21052631578947367,-0.017048016315789474
P0023,31,6,0.1935483870967742,-0.013729484867664926
P0024,26,6,0.23076923076923078,-0.033186387115384616
P0025,96,32,0.3333333333333333,-0.029067121107822086
P0026,61,22,0.36065573770491804,-0.026349661831367575
P0027,96,40,0.4166666666666667,-0.025864293388832654
P0028,27,9,0.3333333333333333,-0.024686242185185184
P0029,104,27,0.25961538461538464,-0.021629614045105834
P0030,39,11,0.28205128205128205,-0.017571003751312205
P0031,18,8,0.4444444444444444,-0.033625624141990954
P0032,24,6,0.25,-0.02912578980877738
P0033,20,8,0.4,-0.0266611282
P0034,19,7,0.3684210526315789,-0.015135442917889569
P0035,69,19,0.2753623188405797,-0.023464348031684245
P0036,33,10,0.30303030303030304,-0.02233730082266222
P0037,63,28,0.4444444444444444,-0.027636024141935358
P0038,20,7,0.35,-0.03380805551431327
P0039,24,10,0.4166666666666667,-0.023314048365355406
P0040,64,15,0.234375,-0.017004762723615577
P0041,92,21,0.22826086956521738,-0.017083876588181935
P0042,61,19,0.3114754098360656,-0.037784896837292734
P0043,22,9,0.4090909090909091,-0.029072327128471204
P0044,69,22,0.3188405797101449,-0.0246697867409463
P0045,26,6,0.23076923076923078,-0.030499770615384614
P0046,38,9,0.23684210526315788,-0.015085692357234072
P0047,90,24,0.26666666666666666,-0.02465773444863502
P0048,93,43,0.46236559139784944,-0.036288837794122286
P0049,79,27,0.34177215189873417,-0.031076775329885016
P0050,18,4,0.2222222222222222,-0.0234805232397049
P0051,35,16,0.45714285714285713,-0.03342889984065974
P0052,102,32,0.3137254901960784,-0.027961766037956783
P0053,23,6,0.2608695652173913,-0.024585452173913044
P0054,30,13,0.43333333333333335,-0.035960779061361595
P0055,30,11,0.36666666666666664,-0.034393977
P0056,88,14,0.1590909090909091,-0.01301475272139588
P0057,103,27,0.2621359223300971,-0.02092633586632802
P0058,95,32,0.3368421052631579,-0.02143294081678245
P0059,19,3,0.15789473684210525,-0.028391228304596366
P0060,103,18,0.17475728155339806,-0.019587053258837053
P0061,77,22,0.2857142857142857,-0.02093442492172667
P0062,24,6,0.25,-0.013151944366951374
P0063,18,8,0.4444444444444444,-0.036642627
P0064,86,32,0.37209302325581395,-0.027656066657493514
P0065,24,9,0.375,-0.02160776621817636
P0066,96,36,0.375,-0.022687449899943507
P0067,111,28,0.25225225225225223,-0.021755062850559212
P0068,21,8,0.38095238095238093,-0.033722910403509665
P0069,63,25,0.3968253968253968,-0.02851622377731697
P0070,87,33,0.3793103448275862,-0.023663257498504817
P0071,20,7,0.35,-0.035573753576517125
P0072,84,22,0.2619047619047619,-0.019281255085602887
P0073,34,10,0.29411764705882354,-0.01828885038235294
P0074,29,11,0.3793103448275862,-0.029347805211799787
P0075,27,9,0.3333333333333333,-0.02782752797980033
P0076,76,25,0.32894736842105265,-0.024017578565464524
P0077,35,11,0.3142857142857143,-0.026094168335748333
P0078,75,20,0.26666666666666666,-0.02491463635192331
P0079,21,2,0.09523809523809523,-0.01485566038095238
P0080,57,20,0.3508771929824561,-0.028100819165104342
P0081,20,6,0.3,-0.031548341913927774
P0082,101,37,0.36633663366336633,-0.031199740832119235
P0083,73,20,0.273972602739726,-0.02156897378582163
P0084,60,19,0.31666666666666665,-0.0404942833433143
P0085,28,9,0.32142857142857145,-0.033463143201567166
P0086,24,7,0.2916666666666667,-0.02679306511087961
P0087,105,30,0.2857142857142857,-0.023167806055376536
P0088,24,7,0.2916666666666667,-0.019048619208333332
P0089,40,13,0.325,-0.029421312775
P0090,19,6,0.3157894736842105,-0.024867394013489585
P0091,30,10,0.3333333333333333,-0.033951759963587874
P0092,42,8,0.19047619047619047,-0.017097951058321376
P0093,99,25,0.25252525252525254,-0.01867425068713737
P0094,85,36,0.4235294117647059,-0.026843096124760813
P0095,35,9,0.2571428571428571,-0.024625919388478457
P0096,25,5,0.2,-0.017731194363712927
P0097,23,7,0.30434782608695654,-0.023752361581242453
P0098,79,23,0.2911392405063291,-0.03167249013128581
P0099,24,11,0.4583333333333333,-0.034427073083333336
P0100,25,10,0.4,-0.03458556734560905
P0101,24,10,0.4166666666666667,-0.03735848759003415
P0102,19,6,0.3157894736842105,-0.011155877990133083
P0103,20,9,0.45,-0.03583854364781236
P0104,85,18,0.21176470588235294,-0.019498560536362973
P0105,98,35,0.35714285714285715,-0.028347455276983752
P0106,100,36,0.36,-0.029633851838421713
P0107,94,31,0.32978723404255317,-0.029381288988950125
P0108,93,33,0.3548387096774194,-0.023603285819313244
P0109,29,10,0.3448275862068966,-0.03375501917585743
P0110,90,42,0.4666666666666667,-0.03494201115667664
P0111,60,17,0.2833333333333333,-0.02506461065808058
P0112,62,28,0.45161290322580644,-0.024789899987963784
P0113,18,6,0.3333333333333333,-0.0274336668454346
P0114,33,11,0.3333333333333333,-0.026290894420191023
P0115,26,9,0.34615384615384615,-0.02568952609432921
P0116,20,13,0.65,-0.03093865774923269
P0117,91,25,0.27472527472527475,-0.020974493315266633
P0118,89,30,0.33707865168539325,-0.022622149508447112
P0119,62,22,0.3548387096774194,-0.024998811130803808
P0120,95,39,0.4105263157894737,-0.031886987935349706
