date,plot_id,greenhouse_id,farm_id,blossom_count,pest_severity,disease_severity,leaf_color,notes_flag,blossom_norm,notes_penalty,leaf_penalty,risk_score,risk_level
2026-02-15,P0001,GH003,F08,37.6339496,0.148770002,0.429695891,Good,Minor,0.5693421703333957,0.1,0,0.45930108571667916,Moderate
2026-03-01,P0001,GH003,F08,28.54586284,0.688223423,0.327178448,Good,None,0.3943512510657096,0,0,0.46697874986314186,Moderate
2026-03-15,P0001,GH003,F08,32.55941033,0.451005787,0.345002452,Good,None,0.4716320235040675,0,0,0.4074295335508135,Moderate
2026-03-29,P0001,GH003,F08,44.69859722,0.346397238,0.172817211,Fair,None,0.7053718115519697,0,0.1,0.44008114056039394,Moderate
2026-04-12,P0001,GH003,F08,31.18713856,0.234205596,0.106117361,Good,Minor,0.44520895945781336,0.1,0,0.3187665629415627,Moderate
2026-04-26,P0001,GH003,F08,31.78024644,0.713236513,0.137537387,Poor,Minor,0.4566292392028219,0.1,0.25,0.7528504515405644,High
2026-05-10,P0001,GH003,F08,38.21196754,0.385214473,0.264684747,Fair,None,0.5804718936013341,0,0.1,0.4700275804202668,Moderate
2026-05-24,P0001,GH003,F08,32.76035549,0.21243251,0.162179057,Poor,None,0.47550121833015135,0,0.25,0.49243219781603026,Moderate
2026-06-07,P0001,GH003,F08,45.228126520000004,0.046891418,0.21010402,Excellent,Moderate,0.7155678870773506,0,0,0.2540723827154701,Low
2026-06-21,P0001,GH003,F08,32.48840681,0.395722615,0.174912089,Good,Minor,0.4702648522210283,0.1,0,0.41126632574420563,Moderate
2026-07-05,P0001,GH003,F08,43.05224817,0.434534668,0.435930765,Fair,Minor,0.6736713952483975,0.1,0.1,0.6829902570996794,High
2026-07-19,P0001,GH003,F08,41.32947299,0.369326389,0.265030388,Fair,Moderate,0.6404993954203771,0,0.1,0.4766277898340754,Moderate
2026-08-02,P0001,GH003,F08,39.12134963,0.16367815,0.320924485,Poor,None,0.5979820266026028,0,0.25,0.5712997760705205,Moderate
2026-08-16,P0001,GH003,F08,25.38677798,0.166730037,0.111976026,Good,Minor,0.33352313858232596,0.1,0,0.27544935236646517,Low
2026-08-30,P0001,GH003,F08,52.15100521,0.513410014,0.310184961,Fair,Minor,0.8488677705328839,0.1,0.1,0.6890502914565767,High
2026-02-15,P0002,GH013,F08,29.5043192,0.489285985,0.087146632,Excellent,Minor,0.4128063081028588,0.1,0,0.3930273407705718,Moderate
2026-03-01,P0002,GH013,F08,36.26601943,0.268171093,0.095671326,Good,None,0.5430027037037547,0,0,0.24551251999075097,Low
2026-03-15,P0002,GH013,F08,36.39704991,0.2265334,0.299237668,Good,None,0.5455256928380801,0,0,0.32304877916761604,Moderate
2026-03-29,P0002,GH013,F08,17.88086476,0.16717456,0.077607777,Fair,None,0.188996937523999,0,0.1,0.23123398315479982,Low
